"Raca","Sexo","EstadoCivil","NumPessoasFam","IdadeAnos","RendTrabPrinc","RendTrabDemais","RendOutrasFontes"
"Branca","Masculino","Casado(a)",3,31,0,0,0
"Branca","Feminino","Casado(a)",3,64,0,0,0
"Branca","Feminino","Casado(a)",4,48,0,0,0
"Branca","Masculino","Solteiro(a)",4,22,0,0,0
"Branca","Feminino","Solteiro(a)",4,26,0,0,0
"Branca","Masculino","Solteiro(a)",4,34,0,0,0
"Branca","Masculino","Solteiro(a)",3,20,0,0,0
"Branca","Feminino","Solteiro(a)",3,25,0,0,0
"Parda","Masculino","Solteiro(a)",3,30,0,0,0
"Branca","Masculino","Solteiro(a)",2,42,0,0,0
"Parda","Feminino","Casado(a)",5,50,0,0,0
"Branca","Feminino","Casado(a)",4,52,0,0,0
"Parda","Feminino","Casado(a)",5,32,0,0,0
"Parda","Feminino","Casado(a)",5,50,0,0,0
"Parda","Feminino","Casado(a)",6,48,0,0,0
"Parda","Feminino","Casado(a)",2,47,0,0,0
"Branca","Feminino","Solteiro(a)",3,18,0,0,0
"Branca","Feminino","Solteiro(a)",3,20,0,0,0
"Parda","Feminino","Solteiro(a)",2,33,0,0,0
"Branca","Feminino","Solteiro(a)",3,38,0,0,0
"Branca","Masculino","Solteiro(a)",3,49,0,0,0
"Branca","Feminino","Solteiro(a)",2,23,0,0,0
"Branca","Feminino","Solteiro(a)",3,46,0,0,0
"Branca","Feminino","Casado(a)",4,51,350,0,0
"Branca","Feminino","Casado(a)",4,41,400,0,0
"Branca","Feminino","Casado(a)",4,28,450,0,0
"Branca","Feminino","Casado(a)",4,53,510,0,0
"Parda","Feminino","Casado(a)",4,51,100,0,0
"Branca","Masculino","Casado(a)",4,56,200,0,0
"Branca","Feminino","Casado(a)",3,57,400,0,0
"Branca","Feminino","Casado(a)",4,43,510,0,0
"Branca","Feminino","Casado(a)",2,31,510,0,0
"Branca","Masculino","Casado(a)",4,25,500,0,0
"Preta","Masculino","Casado(a)",4,57,500,0,0
"Parda","Masculino","Casado(a)",3,62,250,0,0
"Parda","Feminino","Casado(a)",4,46,260,0,0
"Branca","Masculino","Casado(a)",2,49,400,0,0
"Branca","Feminino","Casado(a)",2,48,400,0,0
"Branca","Feminino","Casado(a)",4,52,400,0,0
"Branca","Feminino","Casado(a)",2,30,500,0,0
"Preta","Masculino","Casado(a)",3,60,200,0,0
"Branca","Masculino","Casado(a)",3,57,510,0,0
"Branca","Feminino","Casado(a)",6,37,500,0,0
"Branca","Masculino","Casado(a)",6,48,500,0,0
"Parda","Masculino","Casado(a)",5,60,300,0,0
"Branca","Masculino","Casado(a)",2,56,480,0,0
"Parda","Feminino","Casado(a)",5,49,510,0,0
"Branca","Feminino","Casado(a)",2,46,510,0,0
"Branca","Feminino","Casado(a)",2,50,400,0,0
"Branca","Feminino","Casado(a)",2,41,200,0,0
"Branca","Feminino","Casado(a)",2,54,400,0,0
"Branca","Masculino","Casado(a)",2,56,400,0,0
"Branca","Feminino","Casado(a)",2,50,400,0,0
"Branca","Feminino","Casado(a)",3,45,510,0,0
"Branca","Masculino","Casado(a)",5,47,510,0,0
"Branca","Feminino","Casado(a)",3,52,150,0,0
"Branca","Feminino","Casado(a)",4,43,500,0,0
"Preta","Feminino","Casado(a)",4,31,510,0,0
"Branca","Feminino","Casado(a)",2,58,500,0,0
"Parda","Masculino","Casado(a)",4,39,500,0,0
"Branca","Feminino","Casado(a)",4,44,100,0,0
"Preta","Masculino","Casado(a)",3,41,300,0,0
"Branca","Feminino","Casado(a)",3,53,200,0,0
"Branca","Feminino","Casado(a)",5,49,200,0,0
